Player,Team,Jersey,Nation,Main_Position,Positions,Age,Minutes,Goals,Assists,Penalty_Shoot_on_Goal,Penalty_Shoot,Total_Shoot,Shoot_on_Target,Yellow_Cards,Red_Cards,Touches,Dribbles,Tackles,Blocks,Expected_Goals_xG,Non_Penalty_xG_npxG,Expected_Assists_xAG,Shot_Creating_Actions,Goal_Creating_Actions,Passes_Completed,Passes_Attempted,Pass_Completion,Progressive_Passes,Carries,Progressive_Carries,Dribble_Attempts,Successful_Dribbles
Bernd Leno,Fulham,1,GER,GK,GK,32,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,42,71,0,28,0,0,0
Liam Delap,Ipswich Town,19,ENG,FW,FW,21,73,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.2,1,0,6,12,50,0,14,2,0,0
Ali Al Hamadi,Ipswich Town,16,IRQ,FW,FW,22,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
Omari Hutchinson,Ipswich Town,20,ENG,LW,"LW,RW",20,90,0,0,0,0,3,1,1,0,29,0,0,1,0.3,0.3,0,2,0,10,20,50,1,23,7,6,3
Wes Burns,Ipswich Town,7,WAL,RW,RW,29,56,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,1,0,9,15,60,0,12,1,1,0
Ben Johnson,Ipswich Town,18,ENG,RB,"RB,RW",24,34,0,0,0,0,0,0,0,0,19,4,1,0,0,0,0,0,0,9,12,75,0,6,0,1,0
Conor Chaplin,Ipswich Town,10,ENG,AM,AM,27,64,0,0,0,0,0,0,0,0,28,2,0,2,0,0,0,1,0,16,23,69,2,16,0,0,0
Marcus Harness,Ipswich Town,11,ENG,AM,AM,28,26,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,2,0,9,14,64,2,9,0,1,0
Massimo Luongo,Ipswich Town,25,AUS,DM,DM,31,64,0,0,0,0,0,0,0,0,26,2,0,2,0,0,0,0,0,16,19,84,3,13,0,0,0
Jack Taylor,Ipswich Town,14,IRL,DM,DM,26,26,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,15,19,78,3,13,0,0,0
Sam Morsy,Ipswich Town,5,EGY,DM,DM,32,90,0,0,0,0,0,0,0,0,55,5,0,0,0,0,0.1,1,0,37,47,78,1,27,0,0,0
Leif Davis,Ipswich Town,3,ENG,LB,LB,24,90,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,3,0,29,41,70,2,20,5,0,0
Jacob Greaves,Ipswich Town,24,ENG,CB,CB,23,90,0,0,0,0,2,1,0,0,45,0,2,2,0.1,0.1,0,0,0,25,30,83,2,17,0,0,0
Luke Woolfenden,Ipswich Town,6,ENG,CB,CB,25,90,0,0,0,0,0,0,1,0,73,0,4,5,0,0,0,0,0,48,55,87,2,35,0,0,0
Axel Tuanzebe,Ipswich Town,40,COD,RB,RB,26,73,0,0,0,0,1,0,0,0,39,3,1,1,0.1,0.1,0,0,0,23,27,85,1,13,0,0,0
Sammie Szmodics,Ipswich Town,23,IRL,LW,LW,28,17,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,4,4,100,2,9,1,1,0
Christian Walton,Ipswich Town,28,ENG,GK,GK,28,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,33,42,78,0,26,0,0,0
Diogo Jota,Liverpool,20,POR,FW,FW,27,78,1,0,0,0,3,1,0,0,27,1,1,0,0.9,0.9,0,1,0,9,15,60,2,16,2,2,1
Cody Gakpo,Liverpool,18,NED,FW,FW,25,12,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,7,10,70,0,5,1,0,0
Luis Díaz,Liverpool,7,COL,LW,LW,27,90,0,0,0,0,3,0,0,0,44,1,0,1,0.5,0.5,0.3,7,0,31,36,86,2,28,9,5,5
Mohamed Salah,Liverpool,11,EGY,RW,RW,32,90,1,1,0,0,4,3,0,0,44,0,0,0,0.7,0.7,0.5,3,1,25,34,73,1,26,2,2,0
Dominik Szoboszlai,Liverpool,8,HUN,AM,AM,23,90,0,0,0,0,3,0,0,0,59,1,0,1,0.2,0.2,0.4,4,0,44,50,88,6,33,4,1,1
Alexis Mac Allister,Liverpool,10,ARG,DM,DM,25,90,0,0,0,0,2,0,0,0,66,0,0,3,0.1,0.1,0,3,0,42,50,84,7,34,0,7,1
Ryan Gravenberch,Liverpool,38,NED,DM,DM,22,90,0,0,0,0,0,0,0,0,68,3,0,3,0,0,0,1,1,51,59,86,5,40,2,2,1
Andrew Robertson,Liverpool,26,SCO,LB,LB,30,78,0,0,0,0,0,0,0,0,87,1,1,0,0,0,0.2,2,0,61,79,77,3,38,1,1,0
Kostas Tsimikas,Liverpool,21,GRE,LB,LB,28,12,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,1,0,12,13,92,5,9,1,0,0
Virgil van Dijk,Liverpool,4,NED,CB,CB,33,90,0,0,0,0,0,0,0,0,89,0,1,0,0,0,0,1,1,81,86,94,2,54,0,0,0
Jarell Quansah,Liverpool,78,ENG,CB,CB,21,45,0,0,0,0,0,0,0,0,35,2,1,1,0,0,0,0,0,25,28,89,0,16,0,0,0
Ibrahima Konaté,Liverpool,5,FRA,CB,CB,25,45,0,0,0,0,0,0,0,0,35,0,1,1,0,0,0,0,0,28,30,93,0,22,0,1,1
Trent Alexander-Arnold,Liverpool,66,ENG,RB,RB,25,76,0,0,0,0,1,0,0,0,58,0,0,3,0.1,0.1,0.7,4,1,38,54,70,5,33,2,1,0
Conor Bradley,Liverpool,84,NIR,RB,RB,21,14,0,0,0,0,2,1,0,0,31,0,0,0,0.2,0.2,0,1,0,22,25,88,1,16,1,1,1
Alisson,Liverpool,1,BRA,GK,GK,31,90,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1,0,44,51,86,0,37,0,0,0
Alexander Isak,Newcastle United,14,SWE,FW,FW,24,90,0,1,0,0,0,0,0,0,19,1,1,1,0,0,0.2,2,2,8,10,80,1,6,0,1,0
Anthony Gordon,Newcastle United,10,ENG,LW,LW,23,69,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,0,11,18,61,2,11,4,2,1
Harvey Barnes,Newcastle United,11,ENG,LW,LW,26,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,50,0,2,0,1,0
Jacob Murphy,Newcastle United,23,ENG,RW,RW,29,29,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,1,0,6,7,85,3,6,0,1,0
Emil Krafth,Newcastle United,17,SWE,CB,CB,30,61,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,2,3,66,0,0,0,0,0
Joelinton,Newcastle United,7,BRA,LM,LM,28,90,1,0,0,0,2,1,0,0,34,1,1,4,0.2,0.2,0,0,0,10,17,58,2,13,1,1,0
Bruno Guimarães,Newcastle United,39,BRA,CM,CM,26,90,0,0,0,0,0,0,0,0,42,6,1,4,0,0,0,0,0,18,28,64,1,17,0,0,0
Sean Longstaff,Newcastle United,36,ENG,RM,RM,26,90,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,11,15,73,2,5,0,0,0
Lewis Hall,Newcastle United,20,ENG,LB,LB,19,69,0,0,0,0,0,0,1,0,38,0,1,4,0,0,0,1,0,17,30,56,3,13,2,1,0
Lloyd Kelly,Newcastle United,25,ENG,LB,LB,25,21,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,2,50,0,0,0,0,0
Dan Burn,Newcastle United,33,ENG,CB,CB,32,90,0,0,0,0,0,0,1,0,30,0,0,1,0,0,0,0,0,13,18,72,0,11,0,0,0
Fabian Schär,Newcastle United,5,SUI,CB,CB,32,27,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,9,11,81,1,6,0,0,0
Valentino Livramento,Newcastle United,21,ENG,RB,RB,21,90,0,0,0,0,0,0,0,0,34,2,0,5,0,0,0,0,0,11,20,55,0,8,1,0,0
Nick Pope,Newcastle United,22,ENG,GK,GK,32,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,10,26,38,0,10,0,0,0
Ben Brereton,Southampton,17,CHI,FW,FW,25,69,0,0,0,0,2,0,1,0,32,1,0,0,0.3,0.3,0.1,1,0,20,26,76,0,18,1,1,0
Cameron Archer,Southampton,19,ENG,FW,FW,23,21,0,0,0,0,2,1,0,0,7,0,0,0,0.2,0.2,0,0,0,2,4,50,0,4,1,0,0
Adam Armstrong,Southampton,9,ENG,FW,FW,27,90,0,0,0,0,5,1,0,0,33,2,0,0,0.7,0.7,0.1,2,0,20,25,80,2,26,4,0,0
Joe Aribo,Southampton,7,NGA,CM,CM,28,69,0,0,0,0,1,0,0,0,46,2,1,0,0.1,0.1,0.6,2,0,33,40,82,4,27,3,1,1
Tyler Dibling,Southampton,33,ENG,CM,CM,18,21,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,14,15,93,1,13,1,0,0
Flynn Downes,Southampton,4,ENG,CM,"CM,CB",25,90,0,0,0,0,1,0,0,0,98,2,0,1,0.1,0.1,0.1,5,0,83,90,92,8,44,1,0,0
William Smallbone,Southampton,8,IRL,CM,CM,24,90,0,0,0,0,4,0,0,0,75,2,0,1,0.3,0.3,0,6,0,45,63,71,5,31,1,1,1
Kyle Walker-Peters,Southampton,2,ENG,WB,WB,27,80,0,0,0,0,2,0,0,0,82,0,0,2,0.1,0.1,0,2,0,65,75,86,11,59,5,4,2
Carlos Alcaraz,Southampton,22,ARG,CM,CM,21,10,0,0,0,0,1,1,0,0,17,0,1,0,0.1,0.1,0.1,1,0,13,13,100,6,12,4,2,0
Yukinari Sugawara,Southampton,16,JPN,WB,WB,24,45,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0.2,1,0,22,35,62,1,22,1,2,1
Samuel Edozie,Southampton,23,ENG,WB,WB,21,45,0,0,0,0,0,0,1,0,30,2,0,0,0,0,0.1,4,0,20,23,87,4,28,5,3,1
Jack Stephens,Southampton,5,ENG,CB,CB,30,90,0,0,0,0,0,0,1,0,98,1,0,2,0,0,0,3,0,85,91,93,11,64,1,0,0
Jan Bednarek,Southampton,35,POL,CB,CB,28,80,0,0,0,0,0,0,0,0,86,0,1,0,0,0,0,2,0,77,82,93,6,49,1,0,0
Samuel Amo-Ameyaw,Southampton,27,ENG,WB,WB,18,10,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0.1,2,0,5,5,100,0,6,0,0,0
Taylor Harwood-Bellis,Southampton,6,ENG,CB,CB,22,90,0,0,0,0,0,0,1,0,100,1,0,1,0,0,0,1,0,82,93,88,3,58,2,0,0
Alex McCarthy,Southampton,1,ENG,GK,GK,34,90,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,18,22,81,0,15,0,0,0
Chris Wood,Nottingham Forest,11,NZL,FW,FW,32,71,1,0,0,0,1,1,0,0,32,0,0,0,0.7,0.7,0,0,0,16,26,61,1,10,1,0,0
Taiwo Awoniyi,Nottingham Forest,9,NGA,FW,FW,27,19,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0,1,0,4,5,80,1,4,0,1,1
Callum Hudson-Odoi,Nottingham Forest,14,ENG,LW,LW,23,71,0,0,0,0,2,2,0,0,45,0,0,0,0.1,0.1,0.1,5,0,33,39,84,1,23,6,2,0
Elliot Anderson,Nottingham Forest,8,ENG,LW,LW,21,19,0,0,0,0,0,0,0,0,21,0,1,1,0,0,0,0,0,6,13,46,0,7,1,1,0
Anthony Elanga,Nottingham Forest,21,SWE,RW,RW,22,53,0,0,0,0,1,1,0,0,38,0,0,0,0,0,0.1,5,0,26,31,83,3,21,1,4,2
Nicolás Domínguez,Nottingham Forest,16,ARG,RW,RW,26,37,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,2,0,24,29,82,3,11,0,0,0
Morgan Gibbs-White,Nottingham Forest,10,ENG,AM,AM,24,90,0,0,0,0,2,0,0,0,75,1,1,0,0.1,0.1,0.1,6,0,46,63,73,6,44,2,4,1
Danilo,Nottingham Forest,28,BRA,DM,DM,23,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,100,0,4,0,3,1
Ryan Yates,Nottingham Forest,22,ENG,DM,DM,26,76,0,0,0,0,3,2,0,0,53,1,0,1,0.2,0.2,0,4,1,35,37,94,7,32,5,3,1
Ibrahim Sangaré,Nottingham Forest,6,CIV,DM,DM,26,90,0,0,0,0,0,0,0,0,64,5,1,2,0,0,0,0,0,38,54,70,5,16,0,0,0
Ola Aina,Nottingham Forest,34,NGA,LB,LB,27,53,0,0,0,0,1,0,0,0,42,2,1,1,0,0,0,1,0,22,33,66,4,13,2,1,0
Harry Toffolo,Nottingham Forest,15,ENG,LB,LB,28,37,0,0,0,0,1,0,0,0,36,2,0,0,0,0,0,0,0,22,30,73,1,8,0,0,0
Murillo,Nottingham Forest,5,BRA,CB,CB,22,90,0,0,0,0,0,0,0,0,50,1,0,2,0,0,0,0,0,36,39,92,1,17,0,1,1
Willy Boly,Nottingham Forest,30,CIV,CB,CB,33,90,0,0,0,0,1,1,0,0,70,4,1,3,0.1,0.1,0,0,0,42,53,79,2,32,0,0,0
Neco Williams,Nottingham Forest,7,WAL,RB,RB,23,90,0,0,0,0,1,0,1,0,55,5,2,2,0,0,0.2,2,0,31,40,77,2,21,0,3,2
Matz Sels,Nottingham Forest,26,BEL,GK,GK,32,90,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,36,48,75,0,36,0,0,0
Antoine Semenyo,Bournemouth,24,GHA,LW,"LW,RW,FW",24,90,1,0,0,0,5,2,0,0,48,0,0,1,0.4,0.4,0,2,0,22,33,66,1,29,2,3,1
Luis Sinisterra,Bournemouth,17,COL,FW,"FW,LW",25,62,0,0,0,0,2,1,0,0,26,1,0,1,0.2,0.2,0,0,0,12,15,80,1,16,2,3,1
Justin Kluivert,Bournemouth,19,NED,LW,"LW,FW",25,28,0,0,0,0,0,0,1,0,17,0,1,0,0,0,0,1,1,11,14,78,5,13,2,2,1
Dango Ouattara,Bournemouth,11,BFA,RW,RW,22,68,0,0,0,0,1,0,0,0,39,3,0,1,0.2,0.2,0,2,0,8,21,38,0,14,3,3,1
Daniel Jebbison,Bournemouth,21,ENG,FW,FW,21,22,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,3,5,60,0,6,1,0,0
Marcus Tavernier,Bournemouth,16,ENG,AM,"AM,DM",25,90,0,0,0,0,5,1,0,0,58,0,0,0,0.4,0.4,0.2,6,0,35,49,71,13,28,2,2,0
Lewis Cook,Bournemouth,4,ENG,DM,DM,27,83,0,0,0,0,0,0,1,0,54,1,2,2,0,0,0.2,1,0,29,40,72,5,20,1,0,0
Philip Billing,Bournemouth,29,DEN,AM,AM,28,7,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,2,50,0,2,0,0,0
Alex Scott,Bournemouth,14,ENG,DM,DM,20,62,0,0,0,0,0,0,0,0,41,8,3,3,0,0,0.1,2,0,19,21,90,6,20,0,2,0
Ryan Christie,Bournemouth,10,SCO,DM,DM,29,28,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,1,0,18,26,69,2,18,1,2,1
Milos Kerkez,Bournemouth,3,HUN,LB,LB,20,90,0,0,0,0,0,0,1,0,62,2,1,1,0,0,0,4,1,46,56,82,8,33,4,0,0
Dean Huijsen,Bournemouth,2,ESP,CB,CB,19,90,0,0,0,0,0,0,0,0,78,0,2,2,0,0,0,1,0,56,68,82,4,46,0,0,0
Illia Zabarnyi,Bournemouth,27,UKR,CB,CB,21,90,0,0,0,0,0,0,0,0,70,0,2,2,0,0,0,1,0,45,57,78,2,39,0,1,0
Adam Smith,Bournemouth,15,ENG,RB,RB,33,62,0,0,0,0,0,0,0,0,27,1,2,0,0,0,0,0,0,18,21,85,0,13,0,2,0
Julian Araujo,Bournemouth,28,MEX,RB,RB,23,28,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,1,0,17,23,73,2,11,0,0,0
Neto,Bournemouth,1,BRA,GK,GK,35,90,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,23,34,67,0,19,0,0,0
Dominic Calvert-Lewin,Everton,9,ENG,FW,FW,27,75,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,12,14,85,4,12,1,0,0
Beto,Everton,14,GNB,FW,FW,26,15,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,4,25,0,5,0,1,0
Dwight McNeil,Everton,7,ENG,LW,"LW,RB,RW",24,90,0,0,0,0,0,0,0,0,37,2,2,0,0,0,0,1,0,24,32,75,1,22,0,0,0
Jack Harrison,Everton,11,ENG,RW,RW,27,84,0,0,0,0,3,1,0,0,36,0,0,1,0.1,0.1,0.1,2,0,17,26,65,2,25,4,5,3
Mason Holgate,Everton,4,ENG,RW,"RW,RB",27,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,100,0,1,0,0,0
Abdoulaye Doucouré,Everton,16,MLI,AM,AM,31,62,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0,1,0,12,19,63,0,10,2,1,1
Iliman Ndiaye,Everton,10,SEN,LW,"LW,AM",24,28,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,3,4,75,0,5,1,1,0
Idrissa Gana Gueye,Everton,27,SEN,DM,DM,34,90,0,0,0,0,1,0,0,0,45,2,0,3,0,0,0,1,0,29,35,82,4,22,1,2,0
Tim Iroegbunam,Everton,42,ENG,DM,DM,21,90,0,0,0,0,2,0,0,0,47,9,4,1,0.1,0.1,0,3,0,17,29,58,3,26,1,2,1
Vitaliy Mykolenko,Everton,19,UKR,LB,LB,25,90,0,0,0,0,0,0,0,0,52,0,1,1,0,0,0,1,0,33,42,78,2,23,1,3,0
Michael Keane,Everton,5,ENG,CB,CB,31,90,0,0,0,0,1,0,0,0,57,0,0,1,0,0,0,2,0,44,53,83,3,31,0,0,0
James Tarkowski,Everton,6,ENG,CB,CB,31,90,0,0,0,0,1,0,1,0,68,2,4,3,0,0,0,1,0,45,54,83,3,33,1,1,0
Ashley Young,Everton,18,ENG,RB,RB,39,65,0,0,0,0,0,0,0,1,46,4,2,1,0,0,0.1,2,0,26,38,68,7,15,0,0,0
Jordan Pickford,Everton,1,ENG,GK,GK,30,90,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,33,47,70,0,33,0,0,0
Danny Welbeck,Brighton & Hove Albion,18,ENG,FW,FW,33,90,1,1,0,0,2,1,0,0,26,2,1,3,0.2,0.2,0.1,3,1,16,18,88,4,17,2,1,1
Kaoru Mitoma,Brighton & Hove Albion,22,JPN,LW,LW,27,88,1,0,0,0,4,3,0,0,51,3,0,2,1,1,0,2,0,24,29,82,3,29,5,10,4
Yasin Ayari,Brighton & Hove Albion,26,SWE,LW,LW,20,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,50,0,3,0,1,0
Yankuba Minteh,Brighton & Hove Albion,17,GAM,RW,RW,20,44,0,1,0,0,0,0,0,0,17,1,1,1,0,0,1,4,2,9,13,69,2,9,3,1,1
Simon Adingra,Brighton & Hove Albion,24,CIV,RW,RW,22,46,1,0,0,0,2,1,0,0,31,1,2,0,0.2,0.2,0,1,0,13,21,61,0,20,2,1,0
João Pedro,Brighton & Hove Albion,9,BRA,AM,AM,22,81,0,0,0,0,1,0,0,0,26,2,1,0,0,0,0.1,1,0,9,16,56,2,20,3,1,0
Jeremy Sarmiento,Brighton & Hove Albion,16,ECU,AM,AM,22,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,6,100,0,6,0,0,0
Mats Wieffer,Brighton & Hove Albion,27,NED,DM,DM,24,90,0,1,0,0,0,0,0,0,82,4,0,1,0,0,0.1,2,1,63,72,87,3,49,0,2,0
James Milner,Brighton & Hove Albion,6,ENG,DM,DM,38,81,0,0,0,0,0,0,1,0,47,4,0,3,0,0,0.2,5,0,30,40,75,4,19,1,0,0
Billy Gilmour,Brighton & Hove Albion,11,SCO,DM,DM,23,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,12,83,1,10,0,0,0
Jack Hinshelwood,Brighton & Hove Albion,41,ENG,LB,LB,19,90,0,0,0,0,0,0,0,0,81,0,1,0,0,0,0,1,1,60,72,83,6,47,1,0,0
Lewis Dunk,Brighton & Hove Albion,5,ENG,CB,CB,32,75,0,0,0,0,1,0,0,0,75,0,0,0,0.1,0.1,0,0,0,60,70,85,2,43,0,0,0
Adam Webster,Brighton & Hove Albion,4,ENG,CB,CB,29,15,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,30,33,90,5,22,0,0,0
Jan Paul van Hecke,Brighton & Hove Albion,29,NED,CB,CB,24,90,0,0,0,0,0,0,0,0,94,2,0,0,0,0,0,0,0,81,87,93,4,74,0,1,0
Joël Veltman,Brighton & Hove Albion,34,NED,RB,RB,32,90,0,0,0,0,0,0,0,0,61,2,2,1,0,0,0,0,0,42,52,80,2,37,1,0,0
Jason Steele,Brighton & Hove Albion,23,ENG,GK,GK,33,90,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,56,62,90,0,51,0,0,0
Kai Havertz,Arsenal,29,GER,FW,"FW,LM",25,90,1,1,0,0,5,1,0,0,40,1,1,2,0.4,0.4,0.1,3,1,14,18,77,5,22,3,3,1
Gabriel Martinelli,Arsenal,11,BRA,LW,"LW,RW",23,90,0,0,0,0,1,0,0,0,34,2,0,0,0.1,0.1,0.4,5,0,18,23,78,2,22,4,7,2
Bukayo Saka,Arsenal,7,ENG,RW,RW,22,79,1,1,0,0,5,3,1,0,38,2,0,1,0.4,0.4,0.4,7,1,20,25,80,5,25,4,1,0
Leandro Trossard,Arsenal,19,BEL,LW,LW,29,11,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,3,4,75,0,2,0,1,0
Declan Rice,Arsenal,41,ENG,LM,LM,25,84,0,0,0,0,1,0,0,0,39,0,2,0,0.1,0.1,0.1,5,0,26,31,83,8,20,1,0,0
